ID,url,exclamation_count,words_to_avoid_count,smart_words_count,h1_count,h2_count, div_count,iframe_count,a_count,img_count,p_count,span_count,button_count,input_count,form_count,script_count,meta_count,link_count,style_count,text_longer_than_50_characters_count,text_longer_than_100_characters_count,text_longer_than_150_characters_count,text_longer_than_200_characters_count,http_references,https_references,total_code_length,ylt_DOMelementsCount,ylt_DOMelementMaxDepth,ylt_scriptDuration,ylt_jsErrors,ylt_cssColors,ylt_cssDuplicatedProperties,ylt_totalWeight,ylt_domains,ylt_compression,ylt_totalRequests,ylt_heavyFonts,ylt_global_score,ylt_badJavascript_score,ylt_jQuery_score,ylt_serverConfig_score
14,https://www.usmagazine.com/entertainment/news/cheryl-burke-calls-out-harsh-dwts-judges-amid-covid-recovery/,25,19,18,1,0,344,5,136,42,196,53,24,0,57,35,30,6,10257,6201,4505,3612,0,154,397308,52,1158,15,1338,0,134,46,1468310,14,316683,62,0,76,99,100,94
15,https://www.usmagazine.com/entertainment/pictures/matt-damon-and-ben-afflecks-bromance-2012279/,20,19,19,1,0,347,5,130,42,196,53,24,0,59,35,29,6,9495,5645,3720,3720,0,146,483088,49,1154,14,1314,0,137,56,1471078,14,321873,63,0,76,99,100,94
16,https://www.usmagazine.com/entertainment/news/dwts-jojo-siwa-details-extreme-personal-problem-amid-disney-week/,23,21,20,1,0,345,5,138,43,198,53,24,0,57,34,30,6,9972,5476,3484,3328,0,156,400104,53,1172,15,1324,0,134,46,1464904,14,315402,62,0,76,99,100,94
17,https://www.usmagazine.com/entertainment/pictures/bridgerton-season-2-everything-we-know-so-far/,15,26,18,1,0,346,5,132,42,197,53,24,0,59,35,29,6,10267,6196,4151,3659,0,148,521514,50,1164,14,1335,0,137,56,1449712,15,325707,63,0,75,99,100,94
18,https://edition.cnn.com/2021/09/06/asia/tse-chi-lop-sunblock-intl-hnk-dst/index.html,61,88,27,1,1,445,4,294,12,87,50,39,2,65,44,62,15,28432,26059,22682,19000,1,61,1434125,26,1520,21,1542,1,113,489,3735402,28,398429,80,35992,51,86,70,65
19,https://www.bbc.com/news/av/technology-58488235,9,1,1,1,4,282,1,110,18,237,7,0,0,47,22,4,3,1895,110,0,0,1,56,294624,26,2173,24,324,0,19,15,1286022,17,52355,58,184224,83,100,100,68
20,https://www.bbc.com/news/world-asia-58502199,44,36,5,1,13,325,0,117,15,146,5,0,0,56,30,5,3,8216,7192,6719,5706,0,74,256574,55,2065,22,417,0,19,21,1265802,14,62234,57,159872,85,100,100,81
21,https://www.bbc.com/news/world-asia-58477131,23,56,10,1,6,258,0,83,14,94,5,0,0,51,30,5,3,15517,14077,11991,9061,0,61,252784,80,750,18,98,0,19,19,1066559,8,58236,33,110164,92,100,100,82
22,https://www.bbc.com/news/av/world-us-canada-58509703,5,1,2,1,4,258,1,111,16,220,7,0,0,47,22,4,3,1476,178,178,0,0,55,275937,22,2105,24,341,0,19,16,1332606,17,51997,57,211956,83,100,100,69
23,https://www.bbc.com/news/world-europe-58510192,15,14,3,1,8,243,0,111,13,132,5,0,0,56,30,4,3,1894,1209,842,661,0,65,214243,30,1906,22,294,0,19,19,1067942,14,57256,57,159872,86,100,100,80
24,https://www.bbc.com/sport/tennis/58511033,93,56,26,5,69,1671,11,256,29,640,197,95,2,174,24,22,53,21485,14934,9894,4961,2,96,2024050,92,4280,1,1951,0,180,568,3254634,34,335454,136,170372,-1,-116,100,49
25,https://www.usmagazine.com/entertainment/news/pieper-james-is-dating-brendan-morais-still-questioning-his-actions/,14,44,19,1,0,344,5,135,43,199,53,24,0,56,34,29,6,11235,7565,5637,5637,0,152,401437,50,1155,15,555,0,134,46,1411940,14,300638,62,0,80,99,100,95
26,https://www.usmagazine.com/entertainment/news/jesse-palmer-seemingly-confirms-clayton-echard-is-season-26-bachelor/,21,22,20,1,0,340,5,140,42,198,53,24,0,56,35,29,6,10033,6110,3969,3769,0,157,394182,52,1158,15,576,0,134,46,1449703,14,297915,61,0,80,99,100,95
27,https://www.usmagazine.com/entertainment/pictures/sister-wives-season-16-everything-to-know/,17,22,18,1,0,346,5,132,42,198,53,24,0,59,35,29,6,9441,5568,4022,3711,6,142,418572,50,1146,14,570,0,137,56,1411015,15,300263,63,0,79,99,100,94
28,https://www.usmagazine.com/entertainment/news/kyle-richards-rhobh-reunion-and-michael-myers-are-terrifying/,20,23,18,1,0,344,5,144,43,200,53,24,0,57,34,30,6,9891,6221,4348,4034,0,162,399945,51,1188,15,1684,0,134,46,1417645,15,296428,63,0,72,99,100,94
29,https://www.usmagazine.com/entertainment/pictures/game-of-thrones-prequel-series-everything-we-know/,21,15,18,1,0,346,5,133,42,198,53,24,0,59,35,29,6,9572,5784,3997,3120,0,149,436065,51,1179,14,1481,0,137,56,1421271,15,301410,63,0,73,99,100,93
30,https://www.usmagazine.com/entertainment/pictures/ivan-hall-shares-new-bachelor-in-paradise-secrets/,14,30,19,1,0,346,5,131,42,198,53,24,0,59,34,29,6,10251,6427,4412,4226,0,147,419411,52,1159,14,1339,0,137,56,1404652,15,300906,63,0,75,99,100,94
31,https://www.usmagazine.com/entertainment/news/kenya-moore-thought-she-broke-her-ribs-during-dwts-disney-week/,22,24,19,1,0,344,5,138,43,200,53,24,0,57,34,30,6,9842,6118,3660,3503,0,156,396301,51,1177,15,1241,0,134,46,1477285,15,296477,63,0,76,99,100,94
32,https://www.usmagazine.com/entertainment/pictures/stranger-things-season-4-everything-we-know-so-far/,17,23,18,1,0,346,5,133,42,198,53,24,0,59,35,29,6,10168,6217,4279,4087,0,149,447887,53,1165,14,1350,0,137,56,1456936,15,301809,63,0,75,99,100,94
33,https://www.usmagazine.com/entertainment/news/rhobh-provided-a-lot-of-evidence-against-erika-jayne-lawyer-says/,21,40,18,1,0,343,5,135,42,197,53,24,0,57,35,30,6,11228,7549,5757,5386,0,153,397588,50,1153,15,1371,0,134,46,1465966,15,297040,62,0,76,99,100,94
34,https://www.usmagazine.com/entertainment/pictures/scream-5-everything-we-know-about-the-upcoming-slasher-film/,17,23,20,1,0,346,5,130,42,198,53,24,0,59,35,29,6,9667,6158,4374,3504,0,146,440871,51,1163,14,1190,0,137,56,1409494,15,301376,63,0,76,99,100,94
35,https://www.usmagazine.com/entertainment/news/dwts-fans-react-to-matt-james-lindsay-arnolds-confusing-exit/,25,14,18,1,0,344,5,148,43,199,53,24,0,57,35,30,6,9634,5508,3728,3362,0,166,396901,52,1186,15,1365,0,134,46,1596209,15,289207,62,0,76,99,100,94
36,https://www.usmagazine.com/entertainment/pictures/greys-anatomy-scott-speedman-returns-full-time-after-season-14-role/,30,23,18,1,0,346,5,131,42,197,53,24,0,59,35,29,6,10829,6683,4502,4166,0,147,424971,53,1159,14,1391,0,137,56,1407090,15,301718,63,0,75,99,100,94
37,https://www.usmagazine.com/entertainment/pictures/rhobh-season-11-reunion-erika-jayne-revelations/,20,18,18,1,0,346,5,129,42,197,53,24,0,59,35,29,6,10067,6381,4723,3882,0,145,465220,47,665,0,1492,0,137,56,1410908,15,302168,63,0,74,99,100,94
38,https://www.usmagazine.com/stylish/news/these-5-fits-will-give-you-an-instant-boost-of-confidence/,29,12,18,1,0,344,4,174,45,206,53,24,0,54,34,30,6,8760,5069,3307,3120,57,136,367925,84,1225,15,1300,0,142,47,1533814,13,311931,64,0,75,99,100,95
39,https://www.usmagazine.com/stylish/news/kate-middleton-rewears-green-erdem-coat-at-generation-earthshot-event/,21,12,20,1,0,343,5,130,43,217,53,24,0,56,35,32,6,10416,6392,4615,4434,0,150,396221,47,1149,15,1409,0,142,47,1458633,14,314293,64,0,74,99,100,95
40,https://www.usmagazine.com/stylish/pictures/olivia-wilde-is-absolutely-in-favor-of-freeing-the-nipple/,19,32,20,1,0,353,5,136,41,205,53,24,0,59,35,32,6,10716,7069,5531,4807,0,155,422552,49,1152,14,1160,0,145,57,1426985,15,318890,65,0,75,99,100,94
41,https://www.usmagazine.com/stylish/pictures/brielle-biermanns-hottest-bikini-moments-pics/,25,17,19,1,0,352,4,128,40,196,53,24,0,57,35,31,6,9848,5987,4305,3971,0,146,441727,48,1127,14,2084,0,145,57,1437687,13,316563,63,0,71,99,100,95
