"id","url","h1_count","h2_count","div_count","iframe_count","a_count","img_count","span_count","button_count","input_count","form_count","script_count","meta_count","link_count","style_count","text_longer_than_100_characters_count","http_references","https_references","total_code_length","p_count"
"52","https://people.com/tv/katie-couric-on-being-shocked-by-matt-lauer-behavior-seemed-so-callous/","1","17","620","10","315","109","339","50","13","2","72","37","34","5","30","7","282","535153","39"
"53","https://people.com/parents/me-becoming-mom-podcast-how-to-listen/","2","17","628","14","305","87","343","48","13","2","79","37","38","5","32","6","278","1122206","35"
"54","https://people.com/tech/apple-airpods-pro-early-holiday-2021-sale-amazon/","1","17","526","3","313","101","329","47","11","2","67","35","33","3","27","6","282","477633","20"
"55","https://people.com/sports/amazon-sports-fanshop-merchandise/","1","18","649","3","360","117","353","54","11","2","66","35","33","3","26","6","319","540688","25"
"56","https://people.com/parents/katharine-mcphee-takes-village-to-raise-baby-exclusive/","1","17","557","7","304","101","328","47","11","2","68","36","34","4","39","6","272","474318","27"
"57","https://people.com/lifestyle/best-weekend-sales-8-october-2021/","1","24","774","3","367","149","361","43","11","2","66","35","33","3","28","6","328","533566","30"
"58","https://people.com/lifestyle/amazon-kn95-face-mask-deals-october-2021/","1","16","531","3","320","101","329","47","11","2","66","35","33","3","28","6","289","484431","22"
"59","https://people.com/lifestyle/philips-sonicare-electric-toothbrush-deal-amazon-october-2021/","1","16","526","3","306","98","327","46","11","2","66","35","33","3","31","6","275","473931","24"
"60","https://people.com/lifestyle/evolvetogether-kn95-face-masks-restock/","1","16","534","3","313","101","331","48","11","2","66","35","33","3","26","6","282","478371","21"
"61","https://people.com/home/luxclub-bamboo-sheets-deal-early-holiday-sale-2021-amazon/","2","18","762","7","379","160","471","49","11","2","67","35","33","3","57","6","343","621762","27"
"62","https://people.com/lifestyle/amazon-prime-member-deals-october-2021/","1","17","583","3","336","111","341","54","12","2","66","35","33","3","30","6","304","519409","26"
"63","https://people.com/home/ynm-weighted-blanket-sale-amazon/","2","18","757","7","380","157","470","48","11","2","69","35","35","3","57","6","346","615215","28"
"64","https://www.usmagazine.com/entertainment/pictures/bachelor-in-paradise-couples-that-are-still-together-pics/","1","0","355","6","131","43","196","53","24","0","58","35","29","6","20","0","147","449720","49"
"65","https://www.usmagazine.com/entertainment/news/cheryl-burke-calls-out-harsh-dwts-judges-amid-covid-recovery/","1","0","352","6","134","43","196","53","24","0","56","35","30","6","22","0","152","395601","52"
"66","https://www.usmagazine.com/entertainment/pictures/matt-damon-and-ben-afflecks-bromance-2012279/","1","0","355","6","128","43","196","53","24","0","58","35","29","6","21","0","144","476717","49"
"67","https://www.usmagazine.com/entertainment/news/pieper-james-is-dating-brendan-morais-still-questioning-his-actions/","1","0","353","6","133","44","197","53","24","0","55","34","29","6","26","0","150","403157","50"
"68","https://www.usmagazine.com/entertainment/news/dwts-jojo-siwa-details-extreme-personal-problem-amid-disney-week/","1","0","353","6","136","44","198","53","24","0","56","34","30","6","20","0","154","398206","53"
"69","https://www.usmagazine.com/entertainment/news/jesse-palmer-seemingly-confirms-clayton-echard-is-season-26-bachelor/","1","0","349","6","137","43","196","53","24","0","55","34","29","6","22","0","154","395688","52"
"70","https://www.usmagazine.com/entertainment/pictures/bridgerton-season-2-everything-we-know-so-far/","1","0","355","7","130","43","197","53","24","0","58","35","29","6","19","0","146","507462","51"
"71","https://www.usmagazine.com/entertainment/pictures/sister-wives-season-16-everything-to-know/","1","0","355","6","129","43","196","53","24","0","58","35","29","6","19","6","139","415576","49"
